position,titles,release_year,votes,rating,gross
70.,Coco,(I) (2017),"548,872",8.4,$209.73M
71.,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),"504,794",8.4,$0.28M
72.,WALL·E,(2008),"1,158,349",8.4,$223.81M
73.,The Lives of Others,(2006),"399,901",8.4,$11.29M
74.,3 Idiots,(2009),"415,996",8.4,$6.53M
75.,Capernaum,(2018),"97,900",8.4,$1.66M
76.,Das Boot,(1981),"257,880",8.4,$11.49M
77.,Sunset Blvd.,(1950),"229,411",8.4,#61
78.,Paths of Glory,(1957),"204,865",8.4,#62
79.,Witness for the Prosecution,(1957),"131,598",8.4,$8.18M
80.,The Great Dictator,(1940),"230,971",8.4,$0.29M
81.,High and Low,(1963),"49,133",8.4,#86
82.,Inglourious Basterds,(2009),"1,515,155",8.3,$120.54M
83.,American Beauty,(1999),"1,182,158",8.3,$130.10M
84.,Good Will Hunting,(1997),"1,017,475",8.3,$138.43M
85.,Requiem for a Dream,(2000),"870,821",8.3,$3.64M
86.,2001: A Space Odyssey,(1968),"694,149",8.3,$56.95M
87.,Once Upon a Time in America,(1984),"364,728",8.3,$5.32M
88.,Braveheart,(1995),"1,064,622",8.3,$75.60M
89.,Eternal Sunshine of the Spotless Mind,(2004),"1,041,955",8.3,$34.40M
90.,Reservoir Dogs,(1992),"1,054,536",8.3,$2.83M
91.,The Hunt,(2012),"347,063",8.3,$0.69M
92.,Princess Mononoke,(1997),"413,057",8.3,$2.38M
93.,Singin' in the Rain,(1952),"251,919",8.3,$8.82M
94.,Toy Story,(1995),"1,032,060",8.3,$191.80M
95.,Star Wars: Episode VI - Return of the Jedi,(1983),"1,088,923",8.3,$309.13M
96.,Toy Story 3,(2010),"865,684",8.3,$415.00M
97.,Lawrence of Arabia,(1962),"304,380",8.3,$44.82M
98.,Citizen Kane,(1941),"454,560",8.3,$1.59M
99.,M,(1931),"163,463",8.3,$0.03M
100.,Ikiru,(1952),"83,351",8.3,$0.06M
